;epoch;value;type;metric;fold
0;0;2.2028749747709795;Training;Loss;0
1;0;1.8021790981292725;Validation;Loss;0
2;0;0.24416796267496113;Training;Accuracy;0
3;0;0.32919254658385094;Validation;Accuracy;0
4;1;1.6973972212184558;Training;Loss;0
5;1;1.6685949563980103;Validation;Loss;0
6;1;0.40279937791601866;Training;Accuracy;0
7;1;0.36645962732919257;Validation;Accuracy;0
8;2;1.3537671024149114;Training;Loss;0
9;2;1.6399728059768677;Validation;Loss;0
10;2;0.5147744945567652;Training;Accuracy;0
11;2;0.39751552795031053;Validation;Accuracy;0
12;3;1.1274313764138655;Training;Loss;0
13;3;1.4166627327601116;Validation;Loss;0
14;3;0.6189735614307932;Training;Accuracy;0
15;3;0.43478260869565216;Validation;Accuracy;0
16;4;0.8029631809754805;Training;Loss;0
17;4;1.4169589281082153;Validation;Loss;0
18;4;0.7340590979782271;Training;Accuracy;0
19;4;0.4906832298136646;Validation;Accuracy;0
20;5;0.6011759503321215;Training;Loss;0
21;5;1.559361179669698;Validation;Loss;0
22;5;0.8304821150855366;Training;Accuracy;0
23;5;0.45962732919254656;Validation;Accuracy;0
24;6;0.40334979512474756;Training;Loss;0
25;6;1.6867376565933228;Validation;Loss;0
26;6;0.8926905132192846;Training;Accuracy;0
27;6;0.453416149068323;Validation;Accuracy;0
28;7;0.22283197837797078;Training;Loss;0
29;7;1.6953540643056233;Validation;Loss;0
30;7;0.9517884914463453;Training;Accuracy;0
31;7;0.453416149068323;Validation;Accuracy;0
32;8;0.11811893704262647;Training;Loss;0
33;8;1.9645920991897583;Validation;Loss;0
34;8;0.9875583203732504;Training;Accuracy;0
35;8;0.5031055900621118;Validation;Accuracy;0
36;9;0.0753958597779274;Training;Loss;0
37;9;1.9445106585820515;Validation;Loss;0
38;9;0.9891135303265941;Training;Accuracy;0
39;9;0.4658385093167702;Validation;Accuracy;0
40;10;0.04121620004827326;Training;Loss;0
41;10;2.233475168546041;Validation;Loss;0
42;10;0.995334370139969;Training;Accuracy;0
43;10;0.4720496894409938;Validation;Accuracy;0
44;11;0.043530690568414604;Training;Loss;0
45;11;2.2308242321014404;Validation;Loss;0
46;11;0.9937791601866252;Training;Accuracy;0
47;11;0.4472049689440994;Validation;Accuracy;0
48;12;0.028342719867148182;Training;Loss;0
49;12;2.286527156829834;Validation;Loss;0
50;12;0.995334370139969;Training;Accuracy;0
51;12;0.4906832298136646;Validation;Accuracy;0
52;13;0.023690037429332733;Training;Loss;0
53;13;2.273015101750692;Validation;Loss;0
54;13;0.9968895800933126;Training;Accuracy;0
55;13;0.5031055900621118;Validation;Accuracy;0
