;epoch;value;type;metric;fold
0;0;2.2028749747709795;Training;Loss;0
1;0;1.8021790981292725;Validation;Loss;0
2;0;0.24416796267496113;Training;Accuracy;0
3;0;0.32919254658385094;Validation;Accuracy;0
4;1;1.6973972212184558;Training;Loss;0
5;1;1.6685949563980103;Validation;Loss;0
6;1;0.40279937791601866;Training;Accuracy;0
7;1;0.36645962732919257;Validation;Accuracy;0
8;2;1.3537671024149114;Training;Loss;0
9;2;1.6399728059768677;Validation;Loss;0
10;2;0.5147744945567652;Training;Accuracy;0
11;2;0.39751552795031053;Validation;Accuracy;0
12;3;1.1274313764138655;Training;Loss;0
13;3;1.4166627327601116;Validation;Loss;0
14;3;0.6189735614307932;Training;Accuracy;0
15;3;0.43478260869565216;Validation;Accuracy;0
16;4;0.8029631809754805;Training;Loss;0
17;4;1.4169589281082153;Validation;Loss;0
18;4;0.7340590979782271;Training;Accuracy;0
19;4;0.4906832298136646;Validation;Accuracy;0
20;5;0.6011759503321215;Training;Loss;0
21;5;1.559361179669698;Validation;Loss;0
22;5;0.8304821150855366;Training;Accuracy;0
23;5;0.45962732919254656;Validation;Accuracy;0
24;6;0.40334979512474756;Training;Loss;0
25;6;1.6867376565933228;Validation;Loss;0
26;6;0.8926905132192846;Training;Accuracy;0
27;6;0.453416149068323;Validation;Accuracy;0
28;7;0.22283197837797078;Training;Loss;0
29;7;1.6953540643056233;Validation;Loss;0
30;7;0.9517884914463453;Training;Accuracy;0
31;7;0.453416149068323;Validation;Accuracy;0
32;8;0.11811893704262647;Training;Loss;0
33;8;1.9645920991897583;Validation;Loss;0
34;8;0.9875583203732504;Training;Accuracy;0
35;8;0.5031055900621118;Validation;Accuracy;0
36;9;0.0753958597779274;Training;Loss;0
37;9;1.9445106585820515;Validation;Loss;0
38;9;0.9891135303265941;Training;Accuracy;0
39;9;0.4658385093167702;Validation;Accuracy;0
40;10;0.04121620004827326;Training;Loss;0
41;10;2.233475168546041;Validation;Loss;0
42;10;0.995334370139969;Training;Accuracy;0
43;10;0.4720496894409938;Validation;Accuracy;0
44;11;0.043530690568414604;Training;Loss;0
45;11;2.2308242321014404;Validation;Loss;0
46;11;0.9937791601866252;Training;Accuracy;0
47;11;0.4472049689440994;Validation;Accuracy;0
48;12;0.028342719867148182;Training;Loss;0
49;12;2.286527156829834;Validation;Loss;0
50;12;0.995334370139969;Training;Accuracy;0
51;12;0.4906832298136646;Validation;Accuracy;0
52;13;0.023690037429332733;Training;Loss;0
53;13;2.273015101750692;Validation;Loss;0
54;13;0.9968895800933126;Training;Accuracy;0
55;13;0.5031055900621118;Validation;Accuracy;0
56;0;2.477854360233654;Training;Loss;1
57;0;1.934757153193156;Validation;Loss;1
58;0;0.26127527216174184;Training;Accuracy;1
59;0;0.2236024844720497;Validation;Accuracy;1
60;1;1.7901564186269587;Training;Loss;1
61;1;1.7747414112091064;Validation;Loss;1
62;1;0.3452566096423017;Training;Accuracy;1
63;1;0.37267080745341613;Validation;Accuracy;1
64;2;1.5907850590619175;Training;Loss;1
65;2;1.612903316815694;Validation;Loss;1
66;2;0.4758942457231726;Training;Accuracy;1
67;2;0.42857142857142855;Validation;Accuracy;1
68;3;1.427033001726324;Training;Loss;1
69;3;1.670024832089742;Validation;Loss;1
70;3;0.5583203732503889;Training;Accuracy;1
71;3;0.43478260869565216;Validation;Accuracy;1
72;4;1.045702655207027;Training;Loss;1
73;4;1.5191609859466553;Validation;Loss;1
74;4;0.6189735614307932;Training;Accuracy;1
75;4;0.40993788819875776;Validation;Accuracy;1
76;5;0.9374331452629783;Training;Loss;1
77;5;1.8807592789332073;Validation;Loss;1
78;5;0.6951788491446346;Training;Accuracy;1
79;5;0.38509316770186336;Validation;Accuracy;1
80;6;0.959686360575936;Training;Loss;1
81;6;1.9852592945098877;Validation;Loss;1
82;6;0.6811819595645412;Training;Accuracy;1
83;6;0.3105590062111801;Validation;Accuracy;1
84;7;0.739810352975672;Training;Loss;1
85;7;1.7639844417572021;Validation;Loss;1
86;7;0.7371695178849145;Training;Accuracy;1
87;7;0.40993788819875776;Validation;Accuracy;1
88;8;0.4692001688209447;Training;Loss;1
89;8;1.8124072949091594;Validation;Loss;1
90;8;0.8615863141524106;Training;Accuracy;1
91;8;0.40372670807453415;Validation;Accuracy;1
92;9;0.27305747996169055;Training;Loss;1
93;9;1.9612694183985393;Validation;Loss;1
94;9;0.9175738724727839;Training;Accuracy;1
95;9;0.42857142857142855;Validation;Accuracy;1
96;10;0.20972259545868094;Training;Loss;1
97;10;2.149638573328654;Validation;Loss;1
98;10;0.9564541213063764;Training;Accuracy;1
99;10;0.42857142857142855;Validation;Accuracy;1
100;11;0.17404064942489972;Training;Loss;1
101;11;2.464310566584269;Validation;Loss;1
102;11;0.9471228615863142;Training;Accuracy;1
103;11;0.43478260869565216;Validation;Accuracy;1
104;12;0.13239737193692813;Training;Loss;1
105;12;2.4702632427215576;Validation;Loss;1
106;12;0.9782270606531882;Training;Accuracy;1
107;12;0.4409937888198758;Validation;Accuracy;1
108;13;0.08438845334405248;Training;Loss;1
109;13;2.7843915621439614;Validation;Loss;1
110;13;0.9875583203732504;Training;Accuracy;1
111;13;0.391304347826087;Validation;Accuracy;1
112;14;0.06270776054059918;Training;Loss;1
113;14;2.552476485570272;Validation;Loss;1
114;14;0.9875583203732504;Training;Accuracy;1
115;14;0.422360248447205;Validation;Accuracy;1
116;0;5.073698325590654;Training;Loss;2
117;0;2.1537321408589682;Validation;Loss;2
118;0;0.18040435458786935;Training;Accuracy;2
119;0;0.2546583850931677;Validation;Accuracy;2
120;1;1.772158070044084;Training;Loss;2
121;1;2.0783043702443442;Validation;Loss;2
122;1;0.3359253499222395;Training;Accuracy;2
123;1;0.2981366459627329;Validation;Accuracy;2
124;2;1.8120630654421719;Training;Loss;2
125;2;1.8420571088790894;Validation;Loss;2
126;2;0.37791601866251945;Training;Accuracy;2
127;2;0.32919254658385094;Validation;Accuracy;2
128;3;1.5888198289004238;Training;Loss;2
129;3;1.6805973847707112;Validation;Loss;2
130;3;0.4199066874027994;Training;Accuracy;2
131;3;0.4472049689440994;Validation;Accuracy;2
132;4;1.4385622848163953;Training;Loss;2
133;4;1.6649898290634155;Validation;Loss;2
134;4;0.4774494556765163;Training;Accuracy;2
135;4;0.453416149068323;Validation;Accuracy;2
136;5;1.4612672545693137;Training;Loss;2
137;5;1.6938239733378093;Validation;Loss;2
138;5;0.5381026438569206;Training;Accuracy;2
139;5;0.4472049689440994;Validation;Accuracy;2
140;6;1.3443354476581921;Training;Loss;2
141;6;1.5260756015777588;Validation;Loss;2
142;6;0.5225505443234837;Training;Accuracy;2
143;6;0.4782608695652174;Validation;Accuracy;2
144;7;1.3285249471664429;Training;Loss;2
145;7;1.4760210911432903;Validation;Loss;2
146;7;0.5552099533437014;Training;Accuracy;2
147;7;0.484472049689441;Validation;Accuracy;2
148;8;1.1901951161297886;Training;Loss;2
149;8;1.4678146441777546;Validation;Loss;2
150;8;0.6065318818040435;Training;Accuracy;2
151;8;0.5031055900621118;Validation;Accuracy;2
152;9;0.974416390738704;Training;Loss;2
153;9;1.5615421930948894;Validation;Loss;2
154;9;0.6127527216174183;Training;Accuracy;2
155;9;0.391304347826087;Validation;Accuracy;2
156;10;0.897526974027807;Training;Loss;2
157;10;1.5338884592056274;Validation;Loss;2
158;10;0.6920684292379471;Training;Accuracy;2
159;10;0.4720496894409938;Validation;Accuracy;2
160;11;0.8423156521537087;Training;Loss;2
161;11;1.534175713857015;Validation;Loss;2
162;11;0.713841368584759;Training;Accuracy;2
163;11;0.4968944099378882;Validation;Accuracy;2
164;12;0.7209382057189941;Training;Loss;2
165;12;1.4633809328079224;Validation;Loss;2
166;12;0.7651632970451011;Training;Accuracy;2
167;12;0.484472049689441;Validation;Accuracy;2
168;13;0.5931095020337538;Training;Loss;2
169;13;1.458932638168335;Validation;Loss;2
170;13;0.807153965785381;Training;Accuracy;2
171;13;0.5527950310559007;Validation;Accuracy;2
172;14;0.46825796230272815;Training;Loss;2
173;14;1.6022260983784993;Validation;Loss;2
174;14;0.8709175738724728;Training;Accuracy;2
175;14;0.4968944099378882;Validation;Accuracy;2
176;15;0.35903964056210086;Training;Loss;2
177;15;1.6917122602462769;Validation;Loss;2
178;15;0.9004665629860031;Training;Accuracy;2
179;15;0.484472049689441;Validation;Accuracy;2
180;16;0.32036536119200965;Training;Loss;2
181;16;1.6322706937789917;Validation;Loss;2
182;16;0.9206842923794712;Training;Accuracy;2
183;16;0.515527950310559;Validation;Accuracy;2
184;17;0.29254358871416614;Training;Loss;2
185;17;1.865025003751119;Validation;Loss;2
186;17;0.942457231726283;Training;Accuracy;2
187;17;0.4658385093167702;Validation;Accuracy;2
188;18;0.23878592388196426;Training;Loss;2
189;18;2.0042341152826944;Validation;Loss;2
190;18;0.9533437013996889;Training;Accuracy;2
191;18;0.4472049689440994;Validation;Accuracy;2
192;19;0.22465813566337933;Training;Loss;2
193;19;2.292674938837687;Validation;Loss;2
194;19;0.9471228615863142;Training;Accuracy;2
195;19;0.4409937888198758;Validation;Accuracy;2
196;20;0.16873364929448476;Training;Loss;2
197;20;2.078469673792521;Validation;Loss;2
198;20;0.9642301710730948;Training;Accuracy;2
199;20;0.4782608695652174;Validation;Accuracy;2
200;21;0.13871262764388864;Training;Loss;2
201;21;2.0271474917729697;Validation;Loss;2
202;21;0.9813374805598756;Training;Accuracy;2
203;21;0.4968944099378882;Validation;Accuracy;2
204;22;0.1171447756615552;Training;Loss;2
205;22;2.3262319564819336;Validation;Loss;2
