;index;iteration;type;class_idx;class_name
0;0;0;Training;8;phosphorus-P
0;1;0;Training;4;magnesium-Mg
0;2;0;Training;6;more-deficiencies
0;3;0;Training;1;calcium-Ca
0;5;0;Training;6;more-deficiencies
0;7;0;Training;1;calcium-Ca
0;8;0;Training;7;nitrogen-N
0;9;0;Training;8;phosphorus-P
0;10;0;Training;3;iron-Fe
0;12;0;Training;3;iron-Fe
0;13;0;Training;5;manganese-Mn
0;14;0;Training;3;iron-Fe
0;15;0;Training;5;manganese-Mn
0;16;0;Training;8;phosphorus-P
0;17;0;Training;4;magnesium-Mg
0;18;0;Training;0;boron-B
0;19;0;Training;5;manganese-Mn
0;21;0;Training;9;potasium-K
0;22;0;Training;1;calcium-Ca
0;23;0;Training;8;phosphorus-P
0;24;0;Training;1;calcium-Ca
0;26;0;Training;1;calcium-Ca
0;27;0;Training;8;phosphorus-P
0;29;0;Training;8;phosphorus-P
0;30;0;Training;5;manganese-Mn
0;31;0;Training;5;manganese-Mn
0;32;0;Training;8;phosphorus-P
0;33;0;Training;6;more-deficiencies
0;34;0;Training;7;nitrogen-N
0;35;0;Training;5;manganese-Mn
0;36;0;Training;1;calcium-Ca
0;37;0;Training;0;boron-B
0;38;0;Training;0;boron-B
0;39;0;Training;9;potasium-K
0;40;0;Training;1;calcium-Ca
0;41;0;Training;4;magnesium-Mg
0;43;0;Training;9;potasium-K
0;44;0;Training;8;phosphorus-P
0;47;0;Training;0;boron-B
0;48;0;Training;8;phosphorus-P
0;49;0;Training;4;magnesium-Mg
0;51;0;Training;6;more-deficiencies
0;52;0;Training;9;potasium-K
0;53;0;Training;2;healthy
0;54;0;Training;3;iron-Fe
0;57;0;Training;1;calcium-Ca
0;58;0;Training;0;boron-B
0;59;0;Training;8;phosphorus-P
0;62;0;Training;8;phosphorus-P
0;63;0;Training;8;phosphorus-P
0;64;0;Training;2;healthy
0;65;0;Training;6;more-deficiencies
0;66;0;Training;8;phosphorus-P
0;67;0;Training;8;phosphorus-P
0;68;0;Training;6;more-deficiencies
0;69;0;Training;9;potasium-K
0;71;0;Training;3;iron-Fe
0;72;0;Training;5;manganese-Mn
0;74;0;Training;8;phosphorus-P
0;75;0;Training;8;phosphorus-P
0;77;0;Training;8;phosphorus-P
0;78;0;Training;7;nitrogen-N
0;79;0;Training;8;phosphorus-P
0;80;0;Training;8;phosphorus-P
0;82;0;Training;3;iron-Fe
0;83;0;Training;4;magnesium-Mg
0;85;0;Training;2;healthy
0;86;0;Training;6;more-deficiencies
0;87;0;Training;7;nitrogen-N
0;88;0;Training;8;phosphorus-P
0;89;0;Training;4;magnesium-Mg
0;90;0;Training;6;more-deficiencies
0;91;0;Training;4;magnesium-Mg
0;92;0;Training;6;more-deficiencies
0;93;0;Training;8;phosphorus-P
0;95;0;Training;9;potasium-K
0;97;0;Training;5;manganese-Mn
0;98;0;Training;8;phosphorus-P
0;99;0;Training;1;calcium-Ca
0;101;0;Training;9;potasium-K
0;102;0;Training;1;calcium-Ca
0;103;0;Training;6;more-deficiencies
0;104;0;Training;9;potasium-K
0;105;0;Training;8;phosphorus-P
0;106;0;Training;1;calcium-Ca
0;107;0;Training;9;potasium-K
0;108;0;Training;8;phosphorus-P
0;109;0;Training;0;boron-B
0;110;0;Training;1;calcium-Ca
0;112;0;Training;6;more-deficiencies
0;113;0;Training;4;magnesium-Mg
0;114;0;Training;8;phosphorus-P
0;115;0;Training;8;phosphorus-P
0;116;0;Training;1;calcium-Ca
0;118;0;Training;5;manganese-Mn
0;119;0;Training;3;iron-Fe
0;120;0;Training;1;calcium-Ca
0;121;0;Training;5;manganese-Mn
0;122;0;Training;8;phosphorus-P
0;123;0;Training;8;phosphorus-P
0;125;0;Training;9;potasium-K
0;127;0;Training;5;manganese-Mn
0;128;0;Training;0;boron-B
0;129;0;Training;8;phosphorus-P
0;130;0;Training;7;nitrogen-N
0;131;0;Training;6;more-deficiencies
0;132;0;Training;4;magnesium-Mg
0;133;0;Training;5;manganese-Mn
0;134;0;Training;8;phosphorus-P
0;135;0;Training;5;manganese-Mn
0;136;0;Training;7;nitrogen-N
0;137;0;Training;3;iron-Fe
0;138;0;Training;8;phosphorus-P
0;139;0;Training;4;magnesium-Mg
0;140;0;Training;0;boron-B
0;141;0;Training;6;more-deficiencies
0;142;0;Training;1;calcium-Ca
0;143;0;Training;6;more-deficiencies
0;144;0;Training;7;nitrogen-N
0;145;0;Training;3;iron-Fe
0;146;0;Training;9;potasium-K
0;147;0;Training;7;nitrogen-N
0;149;0;Training;1;calcium-Ca
0;150;0;Training;7;nitrogen-N
0;151;0;Training;8;phosphorus-P
0;152;0;Training;8;phosphorus-P
0;153;0;Training;9;potasium-K
0;154;0;Training;1;calcium-Ca
0;155;0;Training;5;manganese-Mn
0;156;0;Training;4;magnesium-Mg
0;157;0;Training;5;manganese-Mn
0;158;0;Training;7;nitrogen-N
0;159;0;Training;6;more-deficiencies
0;160;0;Training;9;potasium-K
0;161;0;Training;3;iron-Fe
0;162;0;Training;4;magnesium-Mg
0;163;0;Training;7;nitrogen-N
0;165;0;Training;6;more-deficiencies
0;166;0;Training;1;calcium-Ca
0;167;0;Training;6;more-deficiencies
0;168;0;Training;8;phosphorus-P
0;169;0;Training;1;calcium-Ca
0;170;0;Training;8;phosphorus-P
0;171;0;Training;8;phosphorus-P
0;172;0;Training;5;manganese-Mn
0;173;0;Training;0;boron-B
0;174;0;Training;6;more-deficiencies
0;175;0;Training;8;phosphorus-P
0;176;0;Training;9;potasium-K
0;177;0;Training;3;iron-Fe
0;179;0;Training;1;calcium-Ca
0;180;0;Training;8;phosphorus-P
0;181;0;Training;9;potasium-K
0;182;0;Training;8;phosphorus-P
0;184;0;Training;4;magnesium-Mg
0;185;0;Training;0;boron-B
0;187;0;Training;0;boron-B
0;188;0;Training;0;boron-B
0;190;0;Training;4;magnesium-Mg
0;191;0;Training;0;boron-B
0;192;0;Training;8;phosphorus-P
0;193;0;Training;0;boron-B
0;194;0;Training;1;calcium-Ca
0;195;0;Training;8;phosphorus-P
0;196;0;Training;8;phosphorus-P
0;197;0;Training;1;calcium-Ca
0;199;0;Training;8;phosphorus-P
0;200;0;Training;6;more-deficiencies
0;202;0;Training;7;nitrogen-N
0;203;0;Training;9;potasium-K
0;205;0;Training;6;more-deficiencies
0;206;0;Training;8;phosphorus-P
0;207;0;Training;3;iron-Fe
0;209;0;Training;0;boron-B
0;212;0;Training;3;iron-Fe
0;214;0;Training;5;manganese-Mn
0;215;0;Training;5;manganese-Mn
0;216;0;Training;7;nitrogen-N
0;217;0;Training;8;phosphorus-P
0;218;0;Training;3;iron-Fe
0;219;0;Training;6;more-deficiencies
0;220;0;Training;1;calcium-Ca
0;221;0;Training;3;iron-Fe
0;222;0;Training;8;phosphorus-P
0;223;0;Training;0;boron-B
0;227;0;Training;8;phosphorus-P
0;230;0;Training;1;calcium-Ca
0;231;0;Training;1;calcium-Ca
0;232;0;Training;1;calcium-Ca
0;234;0;Training;9;potasium-K
0;235;0;Training;7;nitrogen-N
0;237;0;Training;8;phosphorus-P
0;238;0;Training;0;boron-B
0;241;0;Training;4;magnesium-Mg
0;242;0;Training;6;more-deficiencies
0;243;0;Training;9;potasium-K
0;244;0;Training;1;calcium-Ca
0;245;0;Training;9;potasium-K
0;246;0;Training;6;more-deficiencies
0;247;0;Training;8;phosphorus-P
0;248;0;Training;5;manganese-Mn
0;250;0;Training;0;boron-B
0;251;0;Training;8;phosphorus-P
0;252;0;Training;1;calcium-Ca
0;253;0;Training;1;calcium-Ca
0;254;0;Training;3;iron-Fe
0;256;0;Training;4;magnesium-Mg
0;257;0;Training;0;boron-B
0;258;0;Training;1;calcium-Ca
0;260;0;Training;3;iron-Fe
0;261;0;Training;6;more-deficiencies
0;262;0;Training;8;phosphorus-P
0;263;0;Training;6;more-deficiencies
0;265;0;Training;0;boron-B
0;266;0;Training;1;calcium-Ca
0;267;0;Training;6;more-deficiencies
0;271;0;Training;8;phosphorus-P
0;272;0;Training;4;magnesium-Mg
0;273;0;Training;6;more-deficiencies
0;274;0;Training;0;boron-B
0;275;0;Training;5;manganese-Mn
0;276;0;Training;5;manganese-Mn
0;277;0;Training;7;nitrogen-N
0;278;0;Training;1;calcium-Ca
0;279;0;Training;6;more-deficiencies
0;280;0;Training;8;phosphorus-P
0;281;0;Training;1;calcium-Ca
0;282;0;Training;1;calcium-Ca
0;284;0;Training;5;manganese-Mn
0;285;0;Training;0;boron-B
0;286;0;Training;9;potasium-K
0;287;0;Training;8;phosphorus-P
0;288;0;Training;8;phosphorus-P
0;290;0;Training;1;calcium-Ca
0;291;0;Training;5;manganese-Mn
0;292;0;Training;6;more-deficiencies
0;293;0;Training;9;potasium-K
0;294;0;Training;4;magnesium-Mg
0;295;0;Training;8;phosphorus-P
0;297;0;Training;8;phosphorus-P
0;299;0;Training;1;calcium-Ca
0;300;0;Training;0;boron-B
0;301;0;Training;5;manganese-Mn
0;302;0;Training;5;manganese-Mn
0;303;0;Training;6;more-deficiencies
0;304;0;Training;8;phosphorus-P
0;306;0;Training;9;potasium-K
0;307;0;Training;3;iron-Fe
0;308;0;Training;3;iron-Fe
0;309;0;Training;3;iron-Fe
0;310;0;Training;8;phosphorus-P
0;312;0;Training;1;calcium-Ca
0;313;0;Training;3;iron-Fe
0;314;0;Training;7;nitrogen-N
0;315;0;Training;8;phosphorus-P
0;316;0;Training;8;phosphorus-P
0;317;0;Training;0;boron-B
0;318;0;Training;6;more-deficiencies
0;319;0;Training;3;iron-Fe
0;320;0;Training;0;boron-B
0;321;0;Training;8;phosphorus-P
0;324;0;Training;0;boron-B
0;325;0;Training;7;nitrogen-N
0;326;0;Training;5;manganese-Mn
0;327;0;Training;4;magnesium-Mg
0;330;0;Training;9;potasium-K
0;331;0;Training;8;phosphorus-P
0;333;0;Training;1;calcium-Ca
0;334;0;Training;9;potasium-K
0;335;0;Training;6;more-deficiencies
0;336;0;Training;7;nitrogen-N
0;337;0;Training;9;potasium-K
0;339;0;Training;8;phosphorus-P
0;340;0;Training;8;phosphorus-P
0;342;0;Training;1;calcium-Ca
0;343;0;Training;0;boron-B
0;345;0;Training;0;boron-B
0;346;0;Training;5;manganese-Mn
0;348;0;Training;9;potasium-K
0;349;0;Training;5;manganese-Mn
0;350;0;Training;4;magnesium-Mg
0;351;0;Training;1;calcium-Ca
0;352;0;Training;9;potasium-K
0;355;0;Training;7;nitrogen-N
0;356;0;Training;8;phosphorus-P
0;359;0;Training;8;phosphorus-P
0;360;0;Training;4;magnesium-Mg
0;362;0;Training;4;magnesium-Mg
0;363;0;Training;3;iron-Fe
0;365;0;Training;7;nitrogen-N
0;367;0;Training;6;more-deficiencies
0;368;0;Training;6;more-deficiencies
0;371;0;Training;8;phosphorus-P
0;374;0;Training;8;phosphorus-P
0;375;0;Training;8;phosphorus-P
0;376;0;Training;6;more-deficiencies
0;377;0;Training;8;phosphorus-P
0;378;0;Training;1;calcium-Ca
0;381;0;Training;8;phosphorus-P
0;383;0;Training;4;magnesium-Mg
0;384;0;Training;1;calcium-Ca
0;386;0;Training;7;nitrogen-N
0;388;0;Training;0;boron-B
0;389;0;Training;4;magnesium-Mg
0;390;0;Training;1;calcium-Ca
0;391;0;Training;5;manganese-Mn
0;392;0;Training;3;iron-Fe
0;394;0;Training;8;phosphorus-P
0;395;0;Training;4;magnesium-Mg
0;396;0;Training;8;phosphorus-P
0;397;0;Training;1;calcium-Ca
0;398;0;Training;8;phosphorus-P
0;400;0;Training;9;potasium-K
0;401;0;Training;8;phosphorus-P
0;402;0;Training;5;manganese-Mn
0;403;0;Training;9;potasium-K
0;404;0;Training;8;phosphorus-P
0;406;0;Training;1;calcium-Ca
0;407;0;Training;8;phosphorus-P
0;408;0;Training;8;phosphorus-P
0;409;0;Training;8;phosphorus-P
0;410;0;Training;1;calcium-Ca
0;411;0;Training;0;boron-B
0;412;0;Training;3;iron-Fe
